2017-08-02 17:58:16 [info] BaseTimerRunner | Hiding window::explorer:::Start
2017-08-02 17:58:16 [info] BaseTimerRunner | Hiding window::explorer:::
2017-08-02 17:58:16 [info] BaseTimerRunner | Hiding window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:58:16 [info] BaseTimerRunner | Hiding window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 17:58:16 [info] BaseTimerRunner | Hiding window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 17:58:17 [info] BaseTimerRunner | Hiding window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 17:58:17 [info] BaseTimerRunner | Hiding window::powershell:::Select Windows PowerShell
2017-08-02 17:58:17 [info] BaseTimerRunner | Hiding window::chrome:::New Tab - Google Chrome
2017-08-02 17:58:17 [info] BaseTimerRunner | Hiding window::wmplayer:::Windows Media Player
2017-08-02 17:58:17 [info] BaseTimerRunner | Hiding window::explorer:::eyetrack
2017-08-02 17:58:17 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:58:17 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 17:58:19 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 17:58:21 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 17:58:23 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 17:58:23 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 17:58:25 [info] AnimatingTimerRunner | hiding window owned by process Eyeflow with animation
2017-08-02 17:58:25 [info] AnimatingTimerRunner | hiding window owned by process chrome with animation
2017-08-02 17:58:25 [info] AnimatingTimerRunner | hiding window owned by process explorer with animation
2017-08-02 17:58:26 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:58:26 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 17:58:26 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 17:58:26 [info] AnimatingTimerRunner | hiding window owned by process powershell with animation
2017-08-02 17:58:29 [info] AnimatingTimerRunner | hiding window owned by process iexplore with animation
2017-08-02 17:58:31 [info] AnimatingTimerRunner | hiding window owned by process chrome with animation
2017-08-02 17:58:31 [info] AnimatingTimerRunner | hiding window owned by process Eyeflow with animation
2017-08-02 17:58:31 [info] AnimatingTimerRunner | hiding window owned by process wmplayer with animation
2017-08-02 17:58:32 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 17:58:32 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:58:32 [info] AnimatingTimerRunner | hiding window owned by process explorer with animation
2017-08-02 17:58:34 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 17:58:37 [info] AnimatingTimerRunner | hiding window owned by process Eyeflow with animation
2017-08-02 17:58:39 [info] AnimatingTimerRunner | hiding window owned by process chrome with animation
2017-08-02 17:58:40 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:58:41 [info] AnimatingTimerRunner | hiding window owned by process explorer with animation
2017-08-02 17:58:42 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 17:58:45 [info] BaseTimerRunner | Showing window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 17:58:46 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 17:58:50 [info] BaseTimerRunner | Showing window::explorer:::Start
2017-08-02 17:58:50 [info] BaseTimerRunner | Showing window::explorer:::
2017-08-02 17:58:50 [info] BaseTimerRunner | Showing window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 17:58:50 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 17:58:50 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 17:58:50 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 17:59:55 [info] Program | === Eyeflow started ===
2017-08-02 17:59:55 [info] BaseTimerRunner | BaseTimerRunner started
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::explorer:::Start
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::explorer:::
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::chrome:::New Tab - Google Chrome
